scope	runtime	session_id	started	size_kb	status	batch	note
mybd	claude-code	29c2c472-3e52-4e4d-996b-cca77670a4c1	2026-07-14	1481	lost		transcript pruned before 2026-08-16 retention fix
mybd	claude-code	1a15af9b-1268-4d6e-b4f5-c119616ca6ba	2026-07-14	604	lost		transcript pruned before 2026-08-16 retention fix
mybd	claude-code	dc8e7cb6-01f5-48c7-a143-dd32660f8c14	2026-07-14	236	skipped-inflight		this planning session
mybd	claude-code	f4208934-f184-476c-8eab-ee34b8420dc3	2026-07-14	17	skipped-trivial		
mybd	claude-code	c202d537-3a6b-4d52-a7ed-cd278105fd00	2026-07-13	462	lost		transcript pruned before 2026-08-16 retention fix
mybd	claude-code	239ff742-3eed-42a5-90fd-58b495444645	2026-07-12	1462	lost		transcript pruned before 2026-08-16 retention fix
mybd	claude-code	b32eb7f5-0ea2-4a0b-9542-a01b7b34b3e3	2026-07-12	1178	lost		transcript pruned before 2026-08-16 retention fix
mybd	claude-code	7a827b23-9188-4aea-a948-8dab1e668071	2026-07-12	668	lost		transcript pruned before 2026-08-16 retention fix
mybd	claude-code	895576de-6f14-4c64-a2b5-46d9bac9ca1a	2026-07-12	328	lost		transcript pruned before 2026-08-16 retention fix
mybd	claude-code	bc5a9eff-3d64-45ba-a8f9-0ddb36f28ef1	2026-07-12	45	skipped-trivial		
mybd	claude-code	a8544b40-0b90-4370-9374-767a3280f4c4	2026-07-12	13	skipped-trivial		
mybd	claude-code	db73f789-fd0d-45f2-ac2b-1e43448c60af	2026-07-12	13	skipped-trivial		
mybd	claude-code	5ea64a09-9215-4606-81d8-b470a38aeece	2026-06-20	1791	lost		transcript pruned before 2026-08-16 retention fix
mybd	claude-code	2792dcce-72ee-430c-8a6b-677b93fad5db	2026-06-20	1456	lost		transcript pruned before 2026-08-16 retention fix
mybd	claude-code	9401131e-cc66-4cf6-9604-0626e1190d1b	2026-06-20	488	lost		transcript pruned before 2026-08-16 retention fix
mybd	claude-code	8d01abad-0db8-43c5-976a-5b8cdfac4c4e	2026-06-20	261	lost		transcript pruned before 2026-08-16 retention fix
mybd	claude-code	cca2fbe7-52a8-4f10-8055-9e25a7b3442c	2026-06-19	899	lost		transcript pruned before 2026-08-16 retention fix
mybd	claude-code	8571c16a-b44e-412e-8bd5-0d227832fa51	2026-06-19	600	lost		transcript pruned before 2026-08-16 retention fix
mybd	claude-code	510f4d95-a925-4f21-a4ae-c46b3385f03f	2026-06-18	2529	lost		transcript pruned before 2026-08-16 retention fix
mybd	claude-code	cb56a7f0-5d89-4e80-89fe-13f370d9a134	2026-07-23	1265	digested	sweep-3d	machinery sweep 2026-07-25
mybd	claude-code	2088f1c0-82e2-4d07-b6f2-fd18207b0356	2026-07-24	1014	digested	sweep-3d	
mybd	claude-code	29536753-9bb2-4947-855e-731a96ee9cc6	2026-07-24	1072	digested	sweep-3d	
mybd	claude-code	e06b7792-c8f4-4f69-bbd5-ad33ea7ebc53	2026-07-24	3068	digested	sweep-3d	
mybd	claude-code	15466d7d-b852-45df-bfa4-796ecf48168a	2026-07-24	2013	digested	sweep-3d	
mybd	claude-code	c20b120d-b5ce-4d0a-837e-e1f841fbd2d5	2026-07-24	858	digested	sweep-3d	
mybd	claude-code	4818896e-828f-4bbb-9a60-23c941f712b4	2026-07-24	197	digested	sweep-3d	
mybd	claude-code	8e87e066-aec5-48c3-a505-92fccf61e15c	2026-07-24	242	digested	sweep-3d	
mybd	claude-code	d41b072b-60a1-4514-9833-47e37aa7b046	2026-07-24	2778	digested	sweep-3d	fd-exhaustion incident
mybd	claude-code	a7e557b0-34cb-4f37-bb75-4e6b9cf0908c	2026-07-24	563	digested	sweep-3d	
mybd	claude-code	a7573951-87eb-4668-97bf-c1ac2040569e	2026-07-24	1468	digested	sweep-3d	/tmp quota incident
mybd	claude-code	19c94550-8ba6-4da6-b983-abcbcf815b2f	2026-07-24	119	digested	sweep-3d	
mybd	claude-code	14e39d13-c88a-4cb1-970a-f5293f50fa10	2026-07-24	300	digested	sweep-3d	
mybd	claude-code	8c29af54-4c0d-4e6e-88b2-22da6d9798f4	2026-07-25	1389	digested	sweep-3d	
mybd	claude-code	f6c0822c-b894-4135-8798-77413720814e	2026-07-25	2636	digested	sweep-3d	
mybd	claude-code	b342548b-c790-484b-a21d-8fd8ded97712	2026-07-25	786	digested	sweep-3d	
mybd	claude-code	7c0a9e9e-2c70-46ee-ac80-b9c2f4c342e8	2026-07-25	831	digested	sweep-3d	prime-truncation find
mybd	claude-code	b943fbbb-db5d-47f2-bad4-95841d5b6adb	2026-07-24	90	skipped-trivial	sweep-3d	
mybd	claude-code	b7fca1f7-8626-4c9e-baf4-59e5b46342ef	2026-07-25	24	skipped-trivial	sweep-3d	
